No Cargo de Exercício - REGIÃO,No Cargo de Exercício - DIRETORIA DE ENSINO,6407 - PROF. EDUC. BÁSICA I - CLASSE QUADRO PERMANENTE - EFETIVO,"6407 - PROF. EDUC. BÁSICA I - CLASSE QUADRO PERMANENTE - CATEG.     ""F""    ",6407 - PROF. EDUC. BÁSICA I - CLASSE QUADRO PERMANENTE - ESTÁ- VEL   ,"6407 - PROF. EDUC. BÁSICA I - CLASSE QUADRO PERMANENTE - CATEG    ""L""",6407 - PROF. EDUC. BÁSICA I - 1-TOTAL  PERMA-  NENTE,6407 - PROF. EDUC. BÁSICA I - 2- TOTAL         TEMPO- RÁRIO ,6407 - PROF. EDUC. BÁSICA I - TOTAL                 PEB-I              CLASSE  ,6407 - PROF. EDUC.  BÁSICA I - AULA - 1-TOTAL  PERMA-  NENTE (CATEG. F),6407 - PROF. EDUC.  BÁSICA I - AULA - 2- TOTAL         TEMPO- RÁRIO ,6407 - PROF. EDUC.  BÁSICA I - AULA - TOTAL               PEB-I                     AULA,6409 - PROF. EDUC. BÁSICA II - QUADRO PERMANENTE - EFETIVO,"6409 - PROF. EDUC. BÁSICA II - QUADRO PERMANENTE - CATEG.        ""F""  ",6409 - PROF. EDUC. BÁSICA II - QUADRO PERMANENTE - ESTÁ- VEL   ,6409 - PROF. EDUC. BÁSICA II - QUADRO PERMANENTE - C.L.T.,6409 - PROF. EDUC. BÁSICA II - 1-TOTAL  PERMA-  NENTE,6409 - PROF. EDUC. BÁSICA II - 2- TOTAL         TEMPO- RÁRIO ,6409 - PROF. EDUC. BÁSICA II - TOTAL             PEB -II,6408 - PROFESSOR II -  QUADRO PERMANENTE - CATEG 'F',6408 - PROFESSOR II -  QUADRO PERMANENTE - ESTÁ-  VEL,6408 - PROFESSOR II - TOTAL PROF. II,TOTAL DOCENTES,,,
INTERIOR     ,D.E.REG. SANTO ANASTACIO      , 56 , 26 , -   , -   , 82 , 19 , 101 , 23 , 32 , 55 , 343 , 146 , -   , -   , 489 , 76 , 565 , -   , -   , -   , 721 ,,,
INTERIOR     ,D.E.REG. SANTOS               , 230 , 116 , 2 , -   , 348 , 119 , 467 , 62 , 154 , 216 , 1.796 , 478 , 8 , -   , 2.282 , 255 , 2.537 , -   , 1 , 1 , 3.221 ,,,
INTERIOR     ,D.E.REG. SAO CARLOS           , 125 , 29 , 1 , -   , 155 , 112 , 267 , 20 , 28 , 48 , 838 , 180 , -   , -   , 1.018 , 94 , 1.112 , -   , -   , -   , 1.427 ,,,
INTERIOR     ,D.E.REG. SAO JOAO DA BOA VISTA, 202 , 82 , -   , -   , 284 , 51 , 335 , 36 , 29 , 65 , 1.220 , 310 , 4 , -   , 1.534 , 162 , 1.696 , -   , -   , -   , 2.096 ,,,
INTERIOR     ,D.E.REG. SAO JOAQUIM BARRA    , 61 , 17 , -   , -   , 78 , 50 , 128 , 3 , 27 , 30 , 380 , 163 , -   , -   , 543 , 39 , 582 , -   , -   , -   , 740 ,,,
INTERIOR     ,D.E.REG. SAO JOSE CAMPOS      , 403 , 137 , -   , -   , 540 , 251 , 791 , 55 , 75 , 130 , 1.554 , 323 , 2 , -   , 1.879 , 126 , 2.005 , 1 , -   , 1 , 2.927 ,,,
INTERIOR     ,D.E.REG. SAO JOSE DO RIO PRETO, 66 , 19 , -   , -   , 85 , 10 , 95 , 25 , 20 , 45 , 1.092 , 340 , -   , -   , 1.432 , 100 , 1.532 , -   , -   , -   , 1.672 ,,,
INTERIOR     ,D.E.REG. SAO ROQUE            , 51 , 3 , -   , -   , 54 , 4 , 58 , 19 , 59 , 78 , 640 , 191 , -   , -   , 831 , 76 , 907 , -   , -   , -   , 1.043 ,,,
INTERIOR     ,D.E.REG. SAO VICENTE          , 90 , 22 , 2 , -   , 114 , 44 , 158 , 54 , 178 , 232 , 1.867 , 579 , 4 , -   , 2.450 , 234 , 2.684 , -   , -   , -   , 3.074 ,,,
INTERIOR     ,D.E.REG. SERTAOZINHO          , 36 , 6 , 1 , -   , 43 , 3 , 46 , 15 , 50 , 65 , 650 , 168 , -   , -   , 818 , 49 , 867 , -   , -   , -   , 978 ,,,
INTERIOR     ,D.E.REG. SOROCABA             , 197 , 121 , 2 , -   , 320 , 89 , 409 , 66 , 125 , 191 , 2.019 , 455 , 1 , -   , 2.475 , 170 , 2.645 , -   , -   , -   , 3.245 ,,,
INTERIOR     ,D.E.REG. SUMARE               , 128 , 75 , -   , -   , 203 , 74 , 277 , 36 , 203 , 239 , 1.307 , 349 , -   , -   , 1.656 , 220 , 1.876 , -   , -   , -   , 2.392 ,,,
INTERIOR     ,D.E.REG. TAQUARITINGA         , 93 , 55 , 1 , -   , 149 , 59 , 208 , 15 , 31 , 46 , 636 , 161 , -   , -   , 797 , 76 , 873 , -   , -   , -   , 1.127 ,,,
INTERIOR     ,D.E.REG. TAUBATE              , 19 , 32 , -   , -   , 51 , 5 , 56 , 34 , 47 , 81 , 744 , 215 , -   , -   , 959 , 88 , 1.047 , 1 , -   , 1 , 1.185 ,,,
INTERIOR     ,D.E.REG. TUPA                 , 118 , 27 , -   , -   , 145 , 43 , 188 , 15 , 54 , 69 , 566 , 175 , -   , -   , 741 , 78 , 819 , -   , -   , -   , 1.076 ,,,
INTERIOR     ,D.E.REG. VOTORANTIM           , 16 , 26 , -   , -   , 42 , 3 , 45 , 27 , 94 , 121 , 832 , 233 , 2 , -   , 1.067 , 93 , 1.160 , -   , -   , -   , 1.326 ,,,
